iter	Passed	Remaining
0	154	154296
1	155	77530
2	156	51884
3	156	39054
4	157	31366
5	158	26294
6	159	22615
7	160	19871
8	161	17738
9	161	16016
10	162	14615
11	163	13449
12	164	12470
13	164	11613
14	165	10887
15	166	10238
16	167	9670
17	168	9174
18	169	8728
19	169	8326
20	170	7960
21	171	7625
22	172	7322
23	173	7050
24	174	6792
25	175	6556
26	175	6336
27	176	6128
28	177	5933
29	177	5754
30	178	5587
31	179	5429
32	180	5283
33	181	5150
34	182	5021
35	182	4899
36	184	4792
37	184	4680
38	185	4572
39	186	4476
40	187	4381
41	188	4288
42	188	4202
43	189	4116
44	190	4036
45	190	3960
46	191	3886
47	192	3816
48	193	3748
49	193	3684
50	194	3621
51	195	3561
52	196	3506
53	196	3449
54	197	3396
55	198	3344
56	199	3293
57	199	3245
58	200	3200
59	201	3159
60	202	3116
61	203	3074
62	204	3035
63	204	2995
64	205	2957
65	206	2919
66	206	2881
67	207	2840
68	208	2806
69	208	2772
70	209	2742
71	210	2712
72	211	2683
73	211	2652
74	212	2626
75	213	2598
76	214	2571
77	215	2546
78	216	2520
79	216	2493
80	217	2466
81	218	2441
82	218	2416
83	219	2391
84	219	2365
85	220	2341
86	220	2316
87	221	2294
88	222	2272
89	222	2251
90	223	2229
91	223	2209
92	224	2191
93	225	2173
94	226	2154
95	226	2135
96	227	2117
97	228	2100
98	228	2083
99	229	2065
100	230	2048
101	230	2029
102	231	2012
103	231	1995
104	232	1979
105	232	1963
106	233	1948
107	234	1933
108	234	1918
109	235	1903
110	235	1889
111	236	1875
112	237	1861
113	237	1848
114	238	1834
115	238	1820
116	239	1807
117	240	1796
118	240	1783
119	241	1771
120	242	1760
121	243	1749
122	243	1735
123	244	1724
124	244	1714
125	245	1704
126	246	1693
127	246	1681
128	247	1672
129	248	1662
130	249	1652
131	249	1642
132	250	1634
133	251	1624
134	252	1615
135	252	1606
136	253	1597
137	254	1587
138	254	1579
139	255	1571
140	256	1563
141	257	1555
142	258	1547
143	258	1539
144	259	1530
145	260	1521
146	260	1513
147	261	1505
148	262	1496
149	262	1488
150	263	1480
151	263	1472
152	264	1464
153	265	1456
154	265	1449
155	266	1441
156	267	1433
157	267	1426
158	268	1419
159	268	1411
160	269	1404
161	270	1399
162	271	1393
163	272	1386
164	272	1379
165	273	1373
166	274	1366
167	274	1360
168	275	1353
169	275	1347
170	276	1340
171	277	1334
172	277	1328
173	278	1321
174	278	1315
175	279	1309
176	280	1303
177	280	1297
178	281	1291
179	282	1285
180	282	1277
181	283	1272
182	283	1266
183	284	1260
184	284	1255
185	285	1250
186	286	1245
187	287	1240
188	287	1235
189	288	1230
190	289	1225
191	289	1220
192	290	1214
193	291	1209
194	291	1204
195	292	1199
196	292	1194
197	293	1189
198	294	1184
199	294	1179
200	295	1174
201	296	1169
202	296	1164
203	297	1159
204	297	1155
205	298	1150
206	299	1145
207	299	1141
208	300	1137
209	301	1133
210	302	1130
211	303	1126
212	303	1122
213	304	1118
214	305	1114
215	305	1110
216	306	1106
217	307	1102
218	308	1098
219	308	1094
220	309	1090
221	310	1086
222	310	1082
223	311	1078
224	311	1074
225	312	1070
226	313	1066
227	313	1062
228	314	1058
229	315	1055
230	315	1051
231	316	1048
232	317	1045
233	318	1042
234	319	1038
235	319	1034
236	320	1030
237	320	1027
238	321	1023
239	322	1020
240	322	1016
241	323	1012
242	323	1009
243	324	1005
244	325	1002
245	325	998
246	326	995
247	327	991
248	327	988
249	328	985
250	328	981
251	329	978
252	330	975
253	330	972
254	331	969
255	332	966
256	333	963
257	334	960
258	334	957
259	335	954
260	335	951
261	336	947
262	337	944
263	337	941
264	338	938
265	338	935
266	339	932
267	340	929
268	340	926
269	341	923
270	342	920
271	342	917
272	343	914
273	343	911
274	344	908
275	345	905
276	345	902
277	346	900
278	347	897
279	348	895
280	348	892
281	349	889
282	350	887
283	350	884
284	351	881
285	352	879
286	352	876
287	353	873
288	354	870
289	354	868
290	355	865
291	355	862
292	356	860
293	357	857
294	358	855
295	359	853
296	359	851
297	360	849
298	361	846
299	361	844
300	362	842
301	363	840
302	364	837
303	364	835
304	365	833
305	366	830
306	366	828
307	367	825
308	368	823
309	368	820
310	369	818
311	369	815
312	370	813
313	371	811
314	372	809
315	372	807
316	373	804
317	374	802
318	374	799
319	375	797
320	376	795
321	376	793
322	377	791
323	378	789
324	378	787
325	379	784
326	380	782
327	381	780
328	381	778
329	382	776
330	383	774
331	383	771
332	384	769
333	384	767
334	385	765
335	386	763
336	386	761
337	387	759
338	388	757
339	389	755
340	389	753
341	390	751
342	391	749
343	391	747
344	392	745
345	393	743
346	394	741
347	394	739
348	395	737
349	396	735
350	396	733
351	397	731
352	398	729
353	398	727
354	399	725
355	399	723
356	400	721
357	401	719
358	401	717
359	402	715
360	403	713
361	403	711
362	404	709
363	405	707
364	405	705
365	406	703
366	406	701
367	407	700
368	408	698
369	409	696
370	410	695
371	410	693
372	411	691
373	412	689
374	412	687
375	413	686
376	414	684
377	414	682
378	415	680
379	415	678
380	416	676
381	417	674
382	417	672
383	418	671
384	418	669
385	419	667
386	420	665
387	420	663
388	421	661
389	422	660
390	422	658
391	423	656
392	424	655
393	425	653
394	425	651
395	426	650
396	427	648
397	427	646
398	428	645
399	428	643
400	429	641
401	430	639
402	430	638
403	431	636
404	432	634
405	432	633
406	433	631
407	433	629
408	434	628
409	435	626
410	435	624
411	436	622
412	437	621
413	437	619
414	438	618
415	439	617
416	440	615
417	440	613
418	441	612
419	442	610
420	443	609
421	443	607
422	444	606
423	445	604
424	445	602
425	446	601
426	446	599
427	447	597
428	448	596
429	448	594
430	449	593
431	449	591
432	450	589
433	451	588
434	451	586
435	452	585
436	453	583
437	453	582
438	454	581
439	455	579
440	456	578
441	456	576
442	457	575
443	458	573
444	458	572
445	459	570
446	460	569
447	461	568
448	462	567
449	462	565
450	463	564
451	464	562
452	465	561
453	465	560
454	466	558
455	467	557
456	467	556
457	468	554
458	469	553
459	470	552
460	471	550
461	471	549
462	472	548
463	473	546
464	473	545
465	474	543
466	475	542
467	475	540
468	476	539
469	477	538
470	477	536
471	478	535
472	479	533
473	479	532
474	480	531
475	481	529
476	481	528
477	482	527
478	483	525
479	484	524
480	484	523
481	485	521
482	486	520
483	486	519
484	487	517
485	488	516
486	488	514
487	489	513
488	490	512
489	490	510
490	491	509
491	492	508
492	492	506
493	493	505
494	494	504
495	495	503
496	495	501
497	496	500
498	497	499
499	498	498
500	498	496
501	499	495
502	500	494
503	501	493
504	501	491
505	502	490
506	503	489
507	504	488
508	504	486
509	505	485
510	506	484
511	507	483
512	507	482
513	508	481
514	509	479
515	510	478
516	511	477
517	511	476
518	512	474
519	513	473
520	513	472
521	514	471
522	515	470
523	516	469
524	517	468
525	518	466
526	519	466
527	520	464
528	521	464
529	521	462
530	522	461
531	523	460
532	524	459
533	524	458
534	525	456
535	526	455
536	526	454
537	527	453
538	528	451
539	528	450
540	529	449
541	530	448
542	531	446
543	531	445
544	532	444
545	533	443
546	533	442
547	534	440
548	535	439
549	535	438
550	536	437
551	537	435
552	537	434
553	538	433
554	538	432
555	539	430
556	540	429
557	540	428
558	541	427
559	541	425
560	542	424
561	543	423
562	543	422
563	544	420
564	545	419
565	546	418
566	546	417
567	547	416
568	548	415
569	549	414
570	549	412
571	550	411
572	551	410
